DLLName,Title,IsAddToMenu,IsUtility,HasView,IsSingleView,IsLoadAtStartup
LogViewer.dll,LogViewer,TRUE,FALSE,TRUE,FALSE,TRUE
LogViewer.dll,LogViewer(SIM0),TRUE,FALSE,TRUE,FALSE,TRUE
LogViewer.dll,LogViewer(SIM1),TRUE,FALSE,TRUE,FALSE,TRUE
MiniViewer.dll,MiniViewer,TRUE,FALSE,TRUE,FALSE,TRUE
MiniViewer.dll,MiniViewer(SIM0),TRUE,FALSE,TRUE,FALSE,TRUE
MiniViewer.dll,MiniViewer(SIM1),TRUE,FALSE,TRUE,FALSE,TRUE
GraphViewer.dll,GraphViewer,TRUE,FALSE,TRUE,FALSE,TRUE
UeConsole.dll,UeConsole,TRUE,FALSE,TRUE,FALSE,TRUE
SDLTool.exe,SDL Tool,FALSE,FALSE,FALSE,FALSE,FALSE
Logger.dll,Logger,FALSE,FALSE,FALSE,FALSE,TRUE
FlashExplorer.dll,FlashExplorer,TRUE,FALSE,TRUE,TRUE,FALSE
Asn1Viewer.dll,Asn1Viewer,TRUE,FALSE,TRUE,FALSE,TRUE
NvmEditor.dll,NvmEditor,TRUE,FALSE,TRUE,TRUE,FALSE
CommandConsole.dll,CommandConsole,TRUE,FALSE,FALSE,FALSE,FALSE
UEFilter.dll,UEFilter,TRUE,FALSE,FALSE,FALSE,FALSE
CATAudio.dll,CATAudio,TRUE,FALSE,TRUE,TRUE,FALSE
BinLogConverter.exe,BinLogConverter,TRUE,TRUE,FALSE,FALSE,FALSE
ChipLab.dll, ChipLab, TRUE, FALSE, TRUE, TRUE, FALSE
IMLViewer.dll,IMLT, TRUE, FALSE,FALSE,FALSE, FALSE
SDLConverter.exe,SDLConverter,TRUE,TRUE,FALSE,FALSE,FALSE
CPDump.exe,CPDump,TRUE,TRUE,FALSE,FALSE,FALSE
TestStudio.dll,TestStudio,TRUE,FALSE,TRUE,TRUE,FALSE
APTController.dll,APTController,TRUE,FALSE,TRUE,TRUE,TRUE
MSCViewer.dll,MSCViewer,TRUE,FALSE,TRUE,TRUE,TRUE
XDEV.dll,External Devices,TRUE,FALSE,FALSE,FALSE,FALSE
UELogExporter.exe,UELogExporter,TRUE,TRUE,FALSE,FALSE,FALSE
RFCalTool.dll,RFCalTool,TRUE,FALSE,TRUE,TRUE,FALSE
NetMonitorViewer.dll,NetMonitor,TRUE,FALSE,FALSE,FALSE,FALSE
ScriptX.dll,ScriptX,TRUE,FALSE,TRUE,TRUE,FALSE
MapViewer.dll,MapViewer,TRUE,FALSE,TRUE,TRUE,FALSE
PTTViewer.dll,PTTViewer,TRUE,FALSE,TRUE,TRUE,FALSE
SulogViewer.dll,Sulog, TRUE, FALSE,FALSE,FALSE, FALSE
NvmXml2.exe,Nvm/Xml Converter,TRUE,TRUE,FALSE,FALSE,FALSE
YModemDump.dll,YModemDump,TRUE,FALSE,FALSE,FALSE,FALSE
ExternLogger.dll,ExternLogger,TRUE,FALSE,FALSE,FALSE,FALSE
