Name                           	 Owner Family	Offset  Title                                DataType   MsgType        Format
LG_UTIL_CYCLE_COUNT_START        0x7  	0x1		0x0    "LG_UTIL_CYCLE_COUNT_START = "       HEX16      Title+Data     ""
LG_UTIL_CYCLE_COUNT   		 0x7  	0x1		0x1    "LG_UTIL_CYCLE_COUNT = "             HEX16      Formatted      "LG_UTIL_CYCLE_COUNT = %x, 0x%.4hX%.4hX"
// LG_TASK_STATUS                0x7  	0x1		0x2    "LG_TASK_STATUS = "                  DEC16      Title+Data     "" //moved to IMLT.mdb
// LG_PMU_START			 0x7  	0x1		0x3    "PMU Results = "                     HEX32      Formatted      "PMU1_REG = 0x%x, PMU2_REG = 0x%x" //moved to IMLT.mdb
// LG_PMU			 0x7  	0x1		0x4    "PMU Results = "                     HEX32      Formatted      "PMU1_REG = 0x%x, PMU2_REG = 0x%x" //moved to IMLT.mdb
LG_CRL_RESET_DSP                 0x7  	0x1		0x5    "LG_CRL_RESET_DSP "                  DEC16      Title+Data     ""
LG_UTIL_EXP                      0x7  	0x1		0x6    "Exp="                               DEC16      Title+Data_E   "" // Do not change this line

LG_TDS_COMMAND                   0x7  	0x1 		0x7    ""                                   DEC16      Formatted      "command1 = %hd, command2 = %hd, controlLoopIO = %hd"
LG_TDS_BURST_IN_BLOCK_INDEX      0x7  	0x1 		0x8    "Burst Index = "                     DEC16      Title+Data     ""
LG_TDS_FIRST_LAST_SLOTS_IN_FRAME 0x7  	0x1 		0x9    ""                     		    DEC16      Formatted      "1st TimeSlotInFrame (Val,Flag) = %hd,%hd. Last TimeSlotInFrame (Val,Flag) = %hd,%hd."
LG_TDS_STATIC_MEMORY_INDEX       0x7  	0x1 		0xA    "Static Memory Index = "             DEC16      Title+Data     ""
LG_TDS_DRFE_STATE_STRUCT_LIST    0x7  	0x1 		0xB    "DRFE State Struct Ptr List = "      HEX32      Buffer         ""
LG_TDS_CIR_THRESHOLDS            0x7  	0x1 		0xC    ""      				    DEC16      Formatted      "Cir Thresholds (Mandatory,Non-Mandatory) = %hd, %hd"
LG_TDS_DEFAULT_VALUES            0x7  	0x1 		0xD    ""      				    DEC16      Formatted      "Default OptChanLen = %hd, Opt Start Offset = %hd"
LG_VBI_BEP_BRANCH_STT         	 0x7  	0x1 		0x10   "VBI bep branch was activated"  DEC16      Title+Data      ""
LG_VBI_BEP_BRANCH_AVG_PWR_UPDATED	  0x7  	0x1 		0x11   "AvgPwr was updated by VBI BEP Branch"  DEC16      Title+Data      ""
LG_VBI_BEP_BRANCH_AVG_PWR_NOT_UPDATED 0x7  	0x1 		0x12   "AvgPwr was NOT updated by VBI BEP Branch"  DEC16      Title+Data      ""
LG_VBI_PWR_BRANCH_AVG_PWR_UPDATED	  0x7  	0x1 		0x13   "AvgPwr was  updated by VBI POWER Branch"  DEC16      Title+Data      ""


// Channel Decoder:
LG_CD_NUMBER_OF_HEADER           0x7  	0x2		0x0    "Num Of Headers = "            	    DEC32      Title+Data     ""
LG_CD_NUMBER_OF_BAD_HEADER       0x7  	0x2		0x1    "Num Of Bad Headers = "              DEC32      Title+Data     ""
LG_CD_NUMBER_OF_DATA_BLOCKS      0x7  	0x2		0x2    "Num Of Data Blocks = "              DEC32      Title+Data     ""
LG_CD_NUMBER_OF_BAD_DATA_BLOCKS  0x7  	0x2		0x3    "Num Of Bad Data Blocks = "          DEC32      Title+Data     ""
LG_CD_SF_SYMBOLS_DUMP            0x7  	0x2		0x4    "SF Symbols = "                      HEX16      Buffer         ""
LG_CD_SF_TYPE                    0x7  	0x2		0x5    "SF_Code = "                         HEX16      Title+Data     ""
LG_CD_CPS_TYPE                   0x7  	0x2		0x6    "CPS = "                             DEC16      Title+Data     ""
LG_CD_TFI_TYPE                   0x7  	0x2		0x7    ""                                   DEC16      Formatted      "Received TFI = %d, Expected TFI = %d"
LG_CD_USF_TYPE                   0x7  	0x2		0x8    "USF_Code = "                        DEC16      Title+Data     ""
LG_CD_HEADER_CRC_ERRORS_TYPE     0x7  	0x2		0x9    "HeaderCrcErrors = "                 DEC16      Title+Data     ""
LG_CD_DATA_CRC_ERRORS_TYPE       0x7  	0x2		0xA    "DataCrcErrors = "                   DEC16      Title+Data     ""
LG_CD_BIT_ERRORS_TYPE            0x7  	0x2		0xB    "BER = "                             DEC16      Title+Data     ""
